"player_name","event_name","heat_name","player_number","player_score","mu","sd"
"Adam Melling","2014/mct/719/moche-rip-curl-pro-portugal","round_157_heat_1",2,7.5,11.23,3.53
"Adam Melling","2016/mct/1540/billabong-pipe-masters","round_338_heat_7",2,7,11.23,3.53
"Adam Melling","2015/mct/1222/rip-curl-pro-bells-beach","round_178_heat_7",2,16.17,11.23,3.53
"Adam Melling","2015/mct/1317/billabong-pipe-masters","round_252_heat_4",3,1.43,11.23,3.53
"Adam Melling","2013/mct/535/billabong-rio-pro","round_17_heat_10",3,12.44,11.23,3.53
"Adam Melling","2014/mct/655/rip-curl-pro-bells-beach","round_97_heat_5",3,11.77,11.23,3.53
"Adam Melling","2013/mct/540/volcom-fiji-pro","round_26_heat_5",2,7.76,11.23,3.53
"Adam Melling","2013/mct/596/rip-curl-pro-portugal","round_66_heat_11",2,13.84,11.23,3.53
"Adam Melling","2014/mct/698/billabong-pro-tahiti","round_130_heat_12",2,8.83,11.23,3.53
"Adam Melling","2013/mct/615/billabong-pipe-masters","round_75_heat_10",2,10.96,11.23,3.53
"Adam Melling","2014/mct/719/moche-rip-curl-pro-portugal","round_155_heat_1",2,11.66,11.23,3.53
"Adam Melling","2014/mct/639/quiksilver-pro-gold-coast","round_82_heat_12",2,12.94,11.23,3.53
"Adam Melling","2016/mct/1443/fiji-pro","round_291_heat_9",2,9.17,11.23,3.53
"Adam Melling","2015/mct/1267/billabong-pro-tahiti","round_218_heat_11",2,15.27,11.23,3.53
"Adam Melling","2015/mct/1236/fiji-pro","round_204_heat_4",3,7.17,11.23,3.53
"Adam Melling","2015/mct/1302/quiksilver-pro-france","round_234_heat_10",2,7.17,11.23,3.53
"Adam Melling","2013/mct/589/hurley-pro-trestles","round_51_heat_12",2,14.67,11.23,3.53
"Adam Melling","2015/mct/1222/rip-curl-pro-bells-beach","round_179_heat_3",2,13.44,11.23,3.53
"Adam Melling","2016/mct/1522/meo-rip-curl-pro-portugal","round_330_heat_5",2,4.9,11.23,3.53
"Adam Melling","2013/mct/535/billabong-rio-pro","round_18_heat_8",2,12.2,11.23,3.53
"Adam Melling","2016/mct/1434/oi-rio-pro","round_286_heat_4",2,6,11.23,3.53
"Adam Melling","2015/mct/1226/drug-aware-margaret-river-pro","round_186_heat_9",2,7.53,11.23,3.53
"Adam Melling","2016/mct/1495/hurley-pro-at-trestles","round_313_heat_4",3,10.93,11.23,3.53
"Adam Melling","2015/mct/1317/billabong-pipe-masters","round_254_heat_3",2,4.53,11.23,3.53
"Adam Melling","2016/mct/1457/j-bay-open","round_298_heat_9",2,14.86,11.23,3.53
"Adam Melling","2015/mct/1281/hurley-pro-at-trestles","round_226_heat_12",2,14.43,11.23,3.53
"Adam Melling","2014/mct/719/moche-rip-curl-pro-portugal","round_158_heat_1",2,11.83,11.23,3.53
"Adam Melling","2016/mct/1484/billabong-pro-tahiti","round_305_heat_12",3,17.67,11.23,3.53
"Adam Melling","2015/mct/1281/hurley-pro-at-trestles","round_225_heat_5",3,10.67,11.23,3.53
"Adam Melling","2014/mct/713/quiksilver-pro-france","round_145_heat_12",3,12,11.23,3.53
"Adam Melling","2016/mct/1495/hurley-pro-at-trestles","round_314_heat_12",2,13.6,11.23,3.53
"Adam Melling","2013/mct/573/billabong-pro-teahupoo","round_43_heat_9",2,0.73,11.23,3.53
"Adam Melling","2016/mct/1434/oi-rio-pro","round_283_heat_9",2,11.17,11.23,3.53
"Adam Melling","2016/mct/1434/oi-rio-pro","round_284_heat_3",3,10.9,11.23,3.53
"Adam Melling","2015/mct/1234/oi-rio-pro","round_193_heat_10",3,8.4,11.23,3.53
"Adam Melling","2015/mct/1236/fiji-pro","round_201_heat_10",3,14.6,11.23,3.53
"Adam Melling","2013/mct/596/rip-curl-pro-portugal","round_67_heat_9",2,8.83,11.23,3.53
"Adam Melling","2013/mct/519/quiksilver-pro-gold-coast","round_1_heat_9",3,11.63,11.23,3.53
"Adam Melling","2014/mct/655/rip-curl-pro-bells-beach","round_100_heat_1",3,10.9,11.23,3.53
"Adam Melling","2014/mct/713/quiksilver-pro-france","round_146_heat_11",2,15.77,11.23,3.53
"Adam Melling","2015/mct/1236/fiji-pro","round_202_heat_9",2,17.6,11.23,3.53
"Adam Melling","2013/mct/529/rip-curl-pro-bells-beach","round_10_heat_8",2,11.33,11.23,3.53
"Adam Melling","2013/mct/596/rip-curl-pro-portugal","round_65_heat_12",3,7.66,11.23,3.53
"Adam Melling","2014/mct/708/hurley-pro-at-trestles","round_137_heat_6",3,11.56,11.23,3.53
"Adam Melling","2016/mct/1399/quiksilver-pro-gold-coast","round_257_heat_2",3,10.37,11.23,3.53
