"event_name","heat_name","player_number","player_name","player_score"
"2013/mct/529/rip-curl-pro-bells-beach","round_9_heat_12",3,"Jordy Smith",12.76
"2013/mct/529/rip-curl-pro-bells-beach","round_10_heat_1",2,"Taj Burrow",16.5
"2013/mct/529/rip-curl-pro-bells-beach","round_10_heat_1",2,"Jacob Willcox",12.16
"2013/mct/529/rip-curl-pro-bells-beach","round_10_heat_2",2,"Gabriel Medina",15.9
"2013/mct/529/rip-curl-pro-bells-beach","round_10_heat_2",2,"Jack Perry",12.17
"2013/mct/529/rip-curl-pro-bells-beach","round_10_heat_3",2,"Adriano de Souza",15.73
"2013/mct/529/rip-curl-pro-bells-beach","round_10_heat_3",2,"Oney Anwar",7.43
"2013/mct/529/rip-curl-pro-bells-beach","round_10_heat_4",2,"Jeremy Flores",14.1
"2013/mct/529/rip-curl-pro-bells-beach","round_10_heat_4",2,"Patrick Gudauskas",13.9
"2013/mct/529/rip-curl-pro-bells-beach","round_10_heat_5",2,"Tiago Pires",17.57
"2013/mct/529/rip-curl-pro-bells-beach","round_10_heat_5",2,"Michel Bourez",17.27
"2013/mct/529/rip-curl-pro-bells-beach","round_10_heat_6",2,"Dusty Payne",17.1
"2013/mct/529/rip-curl-pro-bells-beach","round_10_heat_6",2,"Owen Wright",9.5
"2013/mct/529/rip-curl-pro-bells-beach","round_10_heat_7",2,"Jordy Smith",19.14
"2013/mct/529/rip-curl-pro-bells-beach","round_10_heat_7",2,"Glenn Hall",11.77
"2013/mct/529/rip-curl-pro-bells-beach","round_10_heat_8",2,"C.J. Hobgood",18.1
"2013/mct/529/rip-curl-pro-bells-beach","round_10_heat_8",2,"Adam Melling",11.33
"2013/mct/529/rip-curl-pro-bells-beach","round_10_heat_9",2,"Bede Durbidge",14.6
"2013/mct/529/rip-curl-pro-bells-beach","round_10_heat_9",2,"Brett Simpson",14.23
"2013/mct/529/rip-curl-pro-bells-beach","round_10_heat_10",2,"Sebastian Zietz",16.33
"2013/mct/529/rip-curl-pro-bells-beach","round_10_heat_10",2,"Travis Logie",15.43
